Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
Finland,FIN,2014,52.024723052978516,108.04682922363281,26.55666732788086,61.969932556152344,36.2313117980957,2.9995133876800537,0.021666666492819786,11.707262992858887
Finland,FIN,2015,44.404998779296875,108.58993530273438,22.878610610961914,60.73060607910156,45.111366271972656,6.329844951629639,0.029921945184469223,11.31789493560791
Finland,FIN,2016,50.921112060546875,114.29884338378906,20.0766658782959,60.24686813354492,42.27556228637695,8.296112060546875,0.05948972329497337,11.422104835510254
Finland,FIN,2017,46.64555740356445,110.74291229248047,18.324167251586914,57.994625091552734,39.274192810058594,12.889784812927246,0.13172055780887604,11.833683967590332
Finland,FIN,2018,48.88138961791992,110.14822387695312,21.01277732849121,58.47591781616211,35.10799789428711,15.604445457458496,0.24052055180072784,12.825263023376465
Finland,FIN,2019,41.04694366455078,109.32646179199219,20.33888816833496,61.01344299316406,32.60884094238281,16.042156219482422,0.3914019465446472,13.202105522155762
Finland,FIN,2020,31.521944046020508,98.077880859375,20.718334197998047,59.30107879638672,41.56699752807617,21.058063507080078,0.5809669494628906,11.497894287109375
Finland,FIN,2021,32.88568878173828,97.29049682617188,20.42361068725586,59.86375427246094,41.1003303527832,21.496397018432617,0.8061480522155762,13.605262756347656
France,FRA,1965,481.13543701171875,637.3014526367188,50.0469970703125,2.54525089263916,138.62689208984375,0,0,0
France,FRA,1966,445.8140869140625,683.123046875,52.79650115966797,3.9583332538604736,154.3798828125,0,0,0.38999998569488525
France,FRA,1967,440.0425720214844,784.7899780273438,60.339256286621094,5.890681266784668,134.18124389648438,0,0,0.6050000190734863
France,FRA,1968,423.1608581542969,850.431640625,72.156494140625,8.75373363494873,149.09912109375,0,0,0.9259999990463257
France,FRA,1969,423.6030578613281,982.6675415039062,83.85049438476562,10.21505355834961,156.5491943359375,0,0,1.0670000314712524
France,FRA,1970,403.1711120605469,1116.3309326171875,95.52925109863281,16.205047607421875,167.60653686523438,0,0,1.3702458143234253
France,FRA,1971,369.4351501464844,1216.74853515625,113.22550201416016,26.471176147460938,144.46881103515625,0,0,1.3918224573135376
France,FRA,1972,328.6125793457031,1350.9571533203125,133.8877410888672,41.40217971801758,144.3941192626953,0,0,1.5151952505111694
France,FRA,1973,325.0417785644531,1506.025634765625,157.0364990234375,41.85618209838867,141.03733825683594,0,0,1.5500863790512085
France,FRA,1974,329.0066223144531,1430.9876708984375,163.95925903320312,41.739845275878906,166.2723388671875,0,0,1.5770591497421265
France,FRA,1975,288.44207763671875,1307.8751220703125,182.87001037597656,51.77897262573242,177.738525390625,0,0,1.4158848524093628
France,FRA,1976,339.1308898925781,1414.7838134765625,196.4532470703125,44.77030944824219,143.60508728027344,0,0,1.332900047302246
France,FRA,1977,326.625244140625,1358.818359375,205.0852508544922,50.90785598754883,225.68621826171875,0,0,1.3745814561843872
France,FRA,1978,340.78448486328125,1416.0526123046875,218.7794952392578,86.40800476074219,202.13929748535156,0,0,1.4183881282806396
