country,year,source,cost
Canada,1996,Geothermal ,NA
Canada,1996,Offshore wind ,NA
Canada,1996,Solar photovoltaic ,NA
Canada,1996,Concentrated solar power ,NA
Canada,1996,Hydropower ,NA
Canada,1996,Onshore wind ,0.15513031
Canada,1999,Bioenergy ,NA
Canada,1999,Geothermal ,NA
Canada,1999,Offshore wind ,NA
Canada,1999,Solar photovoltaic ,NA
Canada,1999,Concentrated solar power ,NA
Canada,1999,Hydropower ,NA
Canada,1999,Onshore wind ,0.15476184
Canada,2000,Bioenergy ,NA
Canada,2000,Geothermal ,NA
Canada,2000,Offshore wind ,NA
Canada,2000,Solar photovoltaic ,NA
Canada,2000,Concentrated solar power ,NA
Canada,2000,Hydropower ,NA
Canada,2000,Onshore wind ,0.12835398
Canada,2001,Bioenergy ,NA
Canada,2001,Geothermal ,NA
Canada,2001,Offshore wind ,NA
Canada,2001,Solar photovoltaic ,NA
Canada,2001,Concentrated solar power ,NA
Canada,2001,Hydropower ,NA
Canada,2001,Onshore wind ,0.09705347
Canada,2002,Bioenergy ,NA
Canada,2002,Geothermal ,NA
Canada,2002,Offshore wind ,NA
Canada,2002,Solar photovoltaic ,NA
Canada,2002,Concentrated solar power ,NA
Canada,2002,Hydropower ,NA
Canada,2002,Onshore wind ,0.09142099
Canada,2003,Bioenergy ,NA
Canada,2003,Geothermal ,NA
Canada,2003,Offshore wind ,NA
Canada,2003,Solar photovoltaic ,NA
Canada,2003,Concentrated solar power ,NA
Canada,2003,Hydropower ,NA
Canada,2003,Onshore wind ,0.09258934
Canada,2004,Bioenergy ,NA
Canada,2004,Geothermal ,NA
Canada,2004,Offshore wind ,NA
Canada,2004,Solar photovoltaic ,NA
Canada,2004,Concentrated solar power ,NA
Canada,2004,Hydropower ,NA
Canada,2004,Onshore wind ,0.09075055
Canada,2005,Bioenergy ,NA
Canada,2005,Geothermal ,NA
Canada,2005,Offshore wind ,NA
Canada,2005,Solar photovoltaic ,NA
Canada,2005,Concentrated solar power ,NA
Canada,2005,Hydropower ,NA
Canada,2005,Onshore wind ,0.08295157
Canada,2006,Bioenergy ,NA
Canada,2006,Geothermal ,NA
Canada,2006,Offshore wind ,NA
Canada,2006,Solar photovoltaic ,NA
Canada,2006,Concentrated solar power ,NA
Canada,2006,Hydropower ,NA
Canada,2006,Onshore wind ,0.08787881
Canada,2007,Bioenergy ,NA
Canada,2007,Geothermal ,NA
Canada,2007,Offshore wind ,NA
Canada,2007,Solar photovoltaic ,NA
Canada,2007,Concentrated solar power ,NA
Canada,2007,Hydropower ,NA
Canada,2007,Onshore wind ,0.09966969
Canada,2008,Bioenergy ,NA
Canada,2008,Geothermal ,NA
Canada,2008,Offshore wind ,NA
Canada,2008,Solar photovoltaic ,NA
Canada,2008,Concentrated solar power ,NA
Canada,2008,Hydropower ,NA
Canada,2008,Onshore wind ,0.10012215
Canada,2009,Bioenergy ,NA
Canada,2009,Geothermal ,NA
Canada,2009,Offshore wind ,NA
Canada,2009,Solar photovoltaic ,NA
Canada,2009,Concentrated solar power ,NA
Canada,2009,Hydropower ,NA
Canada,2009,Onshore wind ,0.09946103
Canada,2010,Bioenergy ,NA
Canada,2010,Geothermal ,NA
Canada,2010,Offshore wind ,NA
Canada,2010,Solar photovoltaic ,NA
Canada,2010,Concentrated solar power ,NA
Canada,2010,Hydropower ,NA
Canada,2010,Onshore wind ,0.11103799
Canada,2011,Bioenergy ,NA
Canada,2011,Geothermal ,NA
Canada,2011,Offshore wind ,NA
Canada,2011,Solar photovoltaic ,NA
Canada,2011,Concentrated solar power ,NA
Canada,2011,Hydropower ,NA
Canada,2011,Onshore wind ,0.098163895
Canada,2012,Bioenergy ,NA
Canada,2012,Geothermal ,NA
Canada,2012,Offshore wind ,NA
Canada,2012,Solar photovoltaic ,NA
Canada,2012,Concentrated solar power ,NA
Canada,2012,Hydropower ,NA
Canada,2012,Onshore wind ,0.108819865
Canada,2013,Bioenergy ,NA
Canada,2013,Geothermal ,NA
Canada,2013,Offshore wind ,NA
Canada,2013,Solar photovoltaic ,NA
Canada,2013,Concentrated solar power ,NA
Canada,2013,Hydropower ,NA
Canada,2013,Onshore wind ,0.10019473
Canada,2014,Bioenergy ,NA
Canada,2014,Geothermal ,NA
Canada,2014,Offshore wind ,NA
Canada,2014,Solar photovoltaic ,NA
Canada,2014,Concentrated solar power ,NA
Canada,2014,Hydropower ,NA
Canada,2014,Onshore wind ,0.08756866
Canada,2015,Bioenergy ,NA
Canada,2015,Geothermal ,NA
Canada,2015,Offshore wind ,NA
Canada,2015,Solar photovoltaic ,NA
Canada,2015,Concentrated solar power ,NA
Canada,2015,Hydropower ,NA
Canada,2015,Onshore wind ,0.080491066
Canada,2016,Bioenergy ,NA
Canada,2016,Geothermal ,NA
Canada,2016,Offshore wind ,NA
Canada,2016,Solar photovoltaic ,NA
Canada,2016,Concentrated solar power ,NA
Canada,2016,Hydropower ,NA
Canada,2016,Onshore wind ,0.080697164
Canada,2017,Bioenergy ,NA
Canada,2017,Geothermal ,NA
Canada,2017,Offshore wind ,NA
Canada,2017,Solar photovoltaic ,NA
Canada,2017,Concentrated solar power ,NA
Canada,2017,Hydropower ,NA
Canada,2017,Onshore wind ,0.06509453
Canada,2018,Bioenergy ,NA
Canada,2018,Geothermal ,NA
Canada,2018,Offshore wind ,NA
Canada,2018,Solar photovoltaic ,NA
Canada,2018,Concentrated solar power ,NA
Canada,2018,Hydropower ,NA
Canada,2018,Onshore wind ,0.05353617
Canada,2019,Bioenergy ,NA
Canada,2019,Geothermal ,NA
Canada,2019,Offshore wind ,NA
Canada,2019,Solar photovoltaic ,NA
Canada,2019,Concentrated solar power ,NA
Canada,2019,Hydropower ,NA
Canada,2019,Onshore wind ,0.05697208
Canada,2020,Bioenergy ,NA
Canada,2020,Geothermal ,NA
Canada,2020,Offshore wind ,NA
Canada,2020,Solar photovoltaic ,NA
Canada,2020,Concentrated solar power ,NA
Canada,2020,Hydropower ,NA
Canada,2020,Onshore wind ,0.03649771
Canada,2021,Bioenergy ,NA
Canada,2021,Geothermal ,NA
Canada,2021,Offshore wind ,NA
Canada,2021,Solar photovoltaic ,NA
Canada,2021,Concentrated solar power ,NA
Canada,2021,Hydropower ,NA
Canada,2021,Onshore wind ,0.029625542
China,2010,Bioenergy ,NA
China,2010,Geothermal ,NA
China,2010,Offshore wind ,NA
China,2010,Solar photovoltaic ,0.30835205
China,2010,Concentrated solar power ,NA
China,2010,Hydropower ,NA
China,2010,Onshore wind ,0.08291851
China,2011,Bioenergy ,NA
China,2011,Geothermal ,NA
China,2011,Offshore wind ,NA
China,2011,Solar photovoltaic ,0.2696766
China,2011,Concentrated solar power ,NA
China,2011,Hydropower ,NA
China,2011,Onshore wind ,0.07829489
China,2012,Bioenergy ,NA
China,2012,Geothermal ,NA
China,2012,Offshore wind ,NA
China,2012,Solar photovoltaic ,0.19792174
China,2012,Concentrated solar power ,NA
China,2012,Hydropower ,NA
China,2012,Onshore wind ,0.07696838
China,2013,Bioenergy ,NA
China,2013,Geothermal ,NA
China,2013,Offshore wind ,NA
China,2013,Solar photovoltaic ,0.15542823
China,2013,Concentrated solar power ,NA
China,2013,Hydropower ,NA
China,2013,Onshore wind ,0.072256915
China,2014,Bioenergy ,NA
China,2014,Geothermal ,NA
China,2014,Offshore wind ,NA
China,2014,Solar photovoltaic ,0.11619345
China,2014,Concentrated solar power ,NA
China,2014,Hydropower ,NA
China,2014,Onshore wind ,0.068088576
China,2015,Bioenergy ,NA
China,2015,Geothermal ,NA
China,2015,Offshore wind ,NA
China,2015,Solar photovoltaic ,0.08657164
China,2015,Concentrated solar power ,NA
China,2015,Hydropower ,NA
China,2015,Onshore wind ,0.06324118
China,2016,Bioenergy ,NA
China,2016,Geothermal ,NA
China,2016,Offshore wind ,NA
China,2016,Solar photovoltaic ,0.07509524
China,2016,Concentrated solar power ,NA
China,2016,Hydropower ,NA
China,2016,Onshore wind ,0.058467355
China,2017,Bioenergy ,NA
China,2017,Geothermal ,NA
China,2017,Offshore wind ,NA
China,2017,Solar photovoltaic ,0.06575502
China,2017,Concentrated solar power ,NA
China,2017,Hydropower ,NA
China,2017,Onshore wind ,0.046077926
China,2018,Bioenergy ,NA
China,2018,Geothermal ,NA
China,2018,Offshore wind ,NA
China,2018,Solar photovoltaic ,0.05041504
China,2018,Concentrated solar power ,NA
China,2018,Hydropower ,NA
China,2018,Onshore wind ,0.0482948
China,2019,Bioenergy ,NA
China,2019,Geothermal ,NA
China,2019,Offshore wind ,NA
China,2019,Solar photovoltaic ,0.046723545
China,2019,Concentrated solar power ,NA
China,2019,Hydropower ,NA
China,2019,Onshore wind ,0.037572194
China,2020,Bioenergy ,NA
China,2020,Geothermal ,NA
China,2020,Offshore wind ,NA
China,2020,Solar photovoltaic ,0.03987938
China,2020,Concentrated solar power ,NA
China,2020,Hydropower ,NA
China,2020,Onshore wind ,0.034588665
China,2021,Bioenergy ,NA
China,2021,Geothermal ,NA
China,2021,Offshore wind ,NA
China,2021,Solar photovoltaic ,0.034198184
China,2021,Concentrated solar power ,NA
China,2021,Hydropower ,NA
China,2021,Onshore wind ,0.028007098
China,1996,Bioenergy ,NA
China,1996,Geothermal ,NA
China,1996,Offshore wind ,NA
China,1996,Solar photovoltaic ,NA
China,1996,Concentrated solar power ,NA
China,1996,Hydropower ,NA
China,1996,Onshore wind ,0.18164247
China,1997,Bioenergy ,NA
China,1997,Geothermal ,NA
China,1997,Offshore wind ,NA
China,1997,Solar photovoltaic ,NA
China,1997,Concentrated solar power ,NA
China,1997,Hydropower ,NA
China,1997,Onshore wind ,0.18164247
China,1998,Bioenergy ,NA
China,1998,Geothermal ,NA
China,1998,Offshore wind ,NA
China,1998,Solar photovoltaic ,NA
China,1998,Concentrated solar power ,NA
China,1998,Hydropower ,NA
China,1998,Onshore wind ,0.166726
China,1999,Bioenergy ,NA
China,1999,Geothermal ,NA
China,1999,Offshore wind ,NA
China,1999,Solar photovoltaic ,NA
China,1999,Concentrated solar power ,NA
China,1999,Hydropower ,NA
China,1999,Onshore wind ,0.16321819
China,2000,Bioenergy ,NA
China,2000,Geothermal ,NA
China,2000,Offshore wind ,NA
China,2000,Solar photovoltaic ,NA
China,2000,Concentrated solar power ,NA
China,2000,Hydropower ,NA
China,2000,Onshore wind ,0.14922291
China,2001,Bioenergy ,NA
China,2001,Geothermal ,NA
China,2001,Offshore wind ,NA
China,2001,Solar photovoltaic ,NA
China,2001,Concentrated solar power ,NA
China,2001,Hydropower ,NA
China,2001,Onshore wind ,0.12468569
China,2002,Bioenergy ,NA
China,2002,Geothermal ,NA
China,2002,Offshore wind ,NA
China,2002,Solar photovoltaic ,NA
China,2002,Concentrated solar power ,NA
China,2002,Hydropower ,NA
China,2002,Onshore wind ,0.14047137
China,2003,Bioenergy ,NA
China,2003,Geothermal ,NA
China,2003,Offshore wind ,NA
China,2003,Solar photovoltaic ,NA
China,2003,Concentrated solar power ,NA
China,2003,Hydropower ,NA
China,2003,Onshore wind ,0.09866734
China,2004,Bioenergy ,NA
China,2004,Geothermal ,NA
China,2004,Offshore wind ,NA
China,2004,Solar photovoltaic ,NA
China,2004,Concentrated solar power ,NA
China,2004,Hydropower ,NA
China,2004,Onshore wind ,0.10413199
China,2005,Bioenergy ,NA
China,2005,Geothermal ,NA
China,2005,Offshore wind ,NA
China,2005,Solar photovoltaic ,NA
China,2005,Concentrated solar power ,NA
China,2005,Hydropower ,NA
China,2005,Onshore wind ,0.10206682
China,2006,Bioenergy ,NA
China,2006,Geothermal ,NA
China,2006,Offshore wind ,NA
China,2006,Solar photovoltaic ,NA
China,2006,Concentrated solar power ,NA
China,2006,Hydropower ,NA
China,2006,Onshore wind ,0.096912526
China,2007,Bioenergy ,NA
China,2007,Geothermal ,NA
China,2007,Offshore wind ,NA
China,2007,Solar photovoltaic ,NA
China,2007,Concentrated solar power ,NA
China,2007,Hydropower ,NA
China,2007,Onshore wind ,0.08495954
China,2008,Bioenergy ,NA
China,2008,Geothermal ,NA
China,2008,Offshore wind ,NA
